,Unnamed: 0,brand,channel,grp,regions,target,tot_ad_len,wgt_rat
0,0,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,MEGA CITIES,CS F 15-30 A,30,0.0
1,1,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,MUM,CS M 15-30 AB,30,0.0
2,2,PATANJALI ATTA NOODLES,STAR Plus,0.0,ALL INDIA (U),CS M 22-30 A,15,0.0
3,3,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,MEGA CITIES,CS F 22-40 A,30,0.0
4,4,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,WB (U),CS M 22-50 AB,30,0.0
5,5,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,MEGA CITIES,CS F 31-40 AB,30,0.0
6,6,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,MUM DEL BANG,CS F 22-40 A,30,0.0
7,7,PARLE KISMI,STAR Plus,0.0,MUM,CS M 15-30 AB,40,0.0
8,8,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,MEGA CITIES,CS 15-30 AB,30,0.0
9,9,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,MUM DEL KOL,CS F 22-40 AB,30,0.0
10,10,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,MUM DEL,CS 15-30 AB,30,0.0
11,11,PEDIASURE COMPLETE,STAR Plus,0.0,MUM,CS M 15-30 AB,15,0.0
12,12,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,MEGA CITIES,CS 15-21 AB,30,0.0
13,13,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.0,MEGA CITIES,CS F 22-40 AB,30,0.0
14,14,KINGFISHER CALENDAR,STAR Plus,0.0,MUM,CS M 15-30 AB,15,0.0
15,15,KINGFISHER CALENDAR,STAR Plus,0.01,HSM (R),CS F 15+ BCD,15,0.01
16,16,KINGFISHER CALENDAR,STAR Plus,0.01,ALL INDIA (R),CS 15+ BCD,15,0.01
17,17,HARPIC POWER PLUS,STAR Plus,0.02,ALL INDIA (R),CS 15+ BCD,15,0.01
18,18,KINGFISHER CALENDAR,STAR Plus,0.02,HSM (EXCL. DEL MAH WB) (U),CS 15-30 A,15,0.01
19,19,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.02,MEGA CITIES,CS 15-40 AB,30,0.01
20,20,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.02,MEGA CITIES,CS 22-40 AB,30,0.01
21,21,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.03,MUM DEL BANG,CS 15-40 AB,30,0.01
22,22,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.03,MEGA CITIES,CS 15+ AB,30,0.01
23,23,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.03,MEGA CITIES (EXCL. CHENNAI),CS 22-40 AB,30,0.01
24,24,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.03,MEGA CITIES,CS 15-30 ABC,30,0.01
25,25,KINGFISHER CALENDAR,STAR Plus,0.03,ALL INDIA (U),CS M 15-30 AB,15,0.02
26,26,KINGFISHER CALENDAR,STAR Plus,0.03,ALL INDIA (U),CS M 22-30 A,15,0.02
27,27,HARPIC POWER PLUS,STAR Plus,0.03,HSM (R),CS F 15+ BCD,15,0.02
28,28,KINGFISHER CALENDAR,STAR Plus,0.03,HSM (EXCL. WB ASSAM) (U),CS M 15-30 AB,15,0.02
29,29,KINGFISHER CALENDAR,STAR Plus,0.03,DEL RAJ MAH SOUTH (U+R),CS F 22-30 ABC,15,0.02
30,30,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.03,MEGA CITIES,CS 15-50 AB,30,0.01
31,31,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.03,MEGA CITIES,CS M 22-50 AB,30,0.01
32,32,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.03,MEGA CITIES,CS M 15-40 AB,30,0.01
33,33,KINGFISHER CALENDAR,STAR Plus,0.03,ALL INDIA (U+R),CS M 15-30 AB,15,0.02
34,34,KINGFISHER CALENDAR,STAR Plus,0.04,MEGA CITIES,CS 15-30 AB,15,0.03
35,35,KINGFISHER CALENDAR,STAR Plus,0.04,HSM (U),CS M 15-30 AB,15,0.03
36,36,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.04,MEGA CITIES,CS 22-40 A,30,0.01
37,37,KINGFISHER CALENDAR,STAR Plus,0.04,MUM DEL,CS 15-30 AB,15,0.03
38,38,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.04,MEGA CITIES,CS 22-50 AB,30,0.01
39,39,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.05,MEGA CITIES,CS M 22-40 AB,30,0.02
40,40,KINGFISHER CALENDAR,STAR Plus,0.05,ALL INDIA (U+R),CS 15-30 ABC,15,0.03
41,41,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.05,MUM DEL KOL,CS M 15-40 AB,30,0.02
42,42,KINGFISHER CALENDAR,STAR Plus,0.05,ALL INDIA (U+R),CS M 15-40,15,0.03
43,43,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.05,MEGA CITIES,CS M 31-50 AB,30,0.02
44,44,KINGFISHER CALENDAR,STAR Plus,0.05,MEGA CITIES,CS 15-21 AB,15,0.03
45,45,PATANJALI DANT KANTI ADVANCE TOOTH PASTE,STAR Plus,0.05,MEGA CITIES,CS F 22-50 AB,30,0.02
