,Unnamed: 0,brand,channel,grp,regions,target,tot_ad_len,wgt_rat
0,0,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,HSM (EXCL. NORTH EAST) (U),CS F 22-40 ABC,90,0.0
1,1,WHISPER CHOICE ULTRA,Movies OK,0.0,MEGA CITIES,CS F 22-40 A,25,0.0
2,2,VIM BAR,Movies OK,0.0,MUM DEL GUJ UP 1 MN+,CS M 22-50 AB,60,0.0
3,3,REXONA UNDERARM ODOUR PROTECTION,Movies OK,0.0,MEGA CITIES,CS F 15-30 A,180,0.0
4,4,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,MUM DEL KOL,CS M 15-40 AB,90,0.0
5,5,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,HSM (U),CS F 31-40 AB,90,0.0
6,6,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,MEGA CITIES,CS M 31-50 A,90,0.0
7,7,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,HSM (R),CS F 15+ BCD,90,0.0
8,8,VIM BAR,Movies OK,0.0,ALL INDIA (U),CS F 15-40 AB,60,0.0
9,9,KWLTY WLS SANDWICH,Movies OK,0.0,MEGA CITIES,CS F 15-30 A,30,0.0
10,10,VIM BAR,Movies OK,0.0,MUM DEL KOL PUN RAJ BIH/JHAR (U) UP/UK MP/CG GUJ MAH/GOA (10-75L) WB BELOW 75L,CS F 15-40 AB,60,0.0
11,11,GODREJ AER TWIST,Movies OK,0.0,WB (U),CS M 22-50 AB,10,0.0
12,12,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,HSM (U),CS F 22-40 ABC,90,0.0
13,13,ORAL B PROHEALTH ANTI BACT TOOTH BRUSH,Movies OK,0.0,WB (U),CS M 22-50 AB,15,0.0
14,14,VIM BAR,Movies OK,0.0,HSM (U),CS F 22-30 ABC,60,0.0
15,15,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,MEGA CITIES,CS F 31-40 AB,90,0.0
16,16,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,HSM (U+R),CS F 15-40 B,90,0.0
17,17,WHISPER CHOICE ULTRA,Movies OK,0.0,MUM DEL BANG,CS F 22-40 A,25,0.0
18,18,VIM BAR,Movies OK,0.0,MEGA CITIES,CS F 22-40 A,60,0.0
19,19,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,MUM DEL BANG,CS F 22-40 A,90,0.0
20,20,VIM BAR,Movies OK,0.0,MUM DEL,CS 15-30 AB,60,0.0
21,21,VIM BAR,Movies OK,0.0,MEGA CITIES (EXCL. KOL),CS M 22-40 A,60,0.0
22,22,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,MEGA CITIES,CS F 22-40 A,90,0.0
23,23,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,HSM (U),CS 22-30 AB,90,0.0
24,24,GODREJ AER TWIST,Movies OK,0.0,MEGA CITIES,CS M 22-40 A,10,0.0
25,25,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,NORTH WEST (U),CS F 15-40 AB,90,0.0
26,26,VIM BAR,Movies OK,0.0,MAH (U),CS F 31-50 AB,60,0.0
27,27,VIM BAR,Movies OK,0.0,WB (U),CS M 22-50 AB,60,0.0
28,28,TRESEMME KERATIN SMOOTH SHAMPOO,Movies OK,0.0,DEL RAJ MAH SOUTH (U+R),CS F 22-30 ABC,90,0.0
29,29,PONDS PURE WHITE FACE WASH,Movies OK,0.0,MUM,CS M 15-30 AB,100,0.0
30,30,VIM BAR,Movies OK,0.0,HSM (U),CS F 15-40 AB,60,0.0
